time(s),cellId,rnti,lcid,packetSize,delay(s)
1.04246,4,3,3,31934,0.00245714
1.04267,8,3,3,15967,0.00267142
1.04274,4,2,3,22561,0.00274285
1.04274,2,3,3,15967,0.00274285
1.04281,8,2,3,15967,0.00281428
1.04289,2,2,3,15967,0.00288571
1.04296,8,1,3,15967,0.00295714
1.04303,6,2,3,9544,0.00802856
1.04303,4,1,3,15618,0.00302856
1.04303,2,1,3,15967,0.00302856
1.04331,8,6,3,7982,0.00231428
1.04346,4,3,3,31934,0.00245714
1.04346,8,5,3,5551,0.00245714
1.04374,2,3,3,15967,0.00274285
1.04374,8,3,3,15967,0.00274285
1.04389,2,2,3,15967,0.00288571
1.04389,8,2,3,15967,0.00288571
1.04403,6,1,3,15967,0.00802856
1.04403,6,2,3,9544,0.00802856
1.04403,4,1,3,15618,0.00302856
1.04403,2,1,3,15967,0.00302856
1.04403,8,1,3,15967,0.00302856
1.04431,8,6,3,7982,0.00231428
1.04446,8,5,3,5551,0.00245714
1.04474,2,3,3,15967,0.00274285
1.04474,8,3,3,15967,0.00274285
1.04489,2,2,3,15967,0.00288571
1.04489,8,2,3,15967,0.00288571
1.04503,4,1,3,22561,0.00802856
1.04503,6,5,3,16919,0.00802856
1.04503,6,1,3,15967,0.00802856
1.04503,6,2,3,9544,0.00802856
1.04503,2,1,3,15967,0.00302856
1.04503,8,1,3,15967,0.00302856
1.04603,2,4,3,23949,0.00802856
1.04603,4,1,3,29503,0.00802856
1.04603,4,2,3,26031,0.00802856
1.04603,6,5,3,16919,0.00802856
1.04603,6,1,3,13014,0.00802856
1.04603,8,5,3,11280,0.00802856
1.04603,8,4,3,7807,0.00802856
1.04639,6,5,3,14317,0.00238571
1.0466,6,4,3,23949,0.0026
1.04674,6,3,3,1097,0.00274285
1.04689,6,2,3,9544,0.00288571
1.04703,2,4,3,23949,0.00802856
1.04703,2,5,3,23949,0.00802856
1.04703,4,1,3,29503,0.00802856
1.04703,8,7,3,3902,0.00802856
1.04703,8,5,3,9544,0.00802856
1.04703,6,1,3,7807,0.00302856
1.04739,6,5,3,14317,0.00238571
1.04746,4,3,3,31934,0.00245714
1.0476,6,4,3,23949,0.0026
1.04774,4,2,3,22561,0.00274285
1.04774,6,3,3,1097,0.00274285
1.04803,2,4,3,22128,0.00802856
1.04803,2,5,3,23949,0.00802856
1.04803,8,7,3,3902,0.00802856
1.04803,8,5,3,4770,0.00802856
1.04803,8,4,3,14750,0.00802856
1.04803,6,1,3,7807,0.00302856
1.04839,6,5,3,14317,0.00238571
1.0486,6,4,3,23949,0.0026
1.04874,6,3,3,1097,0.00274285
1.04903,2,4,3,22128,0.00802856
1.04903,2,5,3,23949,0.00802856
1.04903,4,2,3,26031,0.00802856
1.04903,8,7,3,3902,0.00802856
1.04903,6,1,3,7807,0.00302856
1.04939,6,5,3,14317,0.00238571
1.04946,4,3,3,31934,0.00245714
1.0496,6,4,3,23949,0.0026
1.04974,4,2,3,22561,0.00274285
1.04974,6,3,3,1097,0.00274285
1.05003,2,4,3,22128,0.00802856
1.05003,2,5,3,23949,0.00802856
1.05003,8,7,3,3902,0.00802856
1.05039,2,5,3,19524,0.00238571
1.05039,6,5,3,11713,0.00238571
1.05046,4,3,3,31934,0.00245714
1.0506,2,4,3,19524,0.0026
1.0506,6,4,3,23949,0.0026
