Time,direction,frame,subF,slot,1stSym,nSymbol,cellId,bwpId,rnti,tbSize,mcs,rank,rv,SINR(dB),CQI,corrupt,TBler
1.02264,DL,102,2,0,5,4,3,0,2,2,22564,22,1,0,18.8881,0,1.24954e-07
1.02264,DL,102,2,0,7,2,1,0,3,3,15970,28,1,0,35.2842,0,0
1.02264,DL,102,2,0,7,2,5,0,3,3,1100,4,1,0,0.327744,0,0
1.02264,DL,102,2,0,7,2,7,0,3,3,15970,28,1,0,58.7075,0,0
1.02279,DL,102,2,0,9,2,1,0,2,2,15970,28,1,0,44.3454,0,0
1.02279,DL,102,2,0,9,2,5,0,2,2,9547,20,1,0,15.3175,0,0
1.02279,DL,102,2,0,9,2,7,0,2,2,15970,28,1,0,67.6649,0,0
1.02293,DL,102,2,0,9,4,3,0,1,1,15621,18,1,0,15.8977,0,0
1.02293,DL,102,2,0,11,2,1,0,1,1,15970,28,1,0,31.2656,0,4.32321e-13
1.02293,DL,102,2,0,11,2,5,0,1,1,7810,18,1,0,17.2869,0,2.68895e-07
1.02293,DL,102,2,0,11,2,7,0,1,1,15970,28,1,0,56.2836,0,0
1.02314,DL,102,3,0,1,1,7,0,7,7,2142,12,1,0,5.97027,0,0.117414
1.02321,DL,102,3,0,2,1,7,0,6,6,7985,28,1,0,71.6944,0,0
1.02329,DL,102,3,0,1,3,1,0,5,5,23952,28,1,0,28.8531,0,7.44013e-07
1.02329,DL,102,3,0,1,3,3,0,3,3,23952,28,1,0,43.6458,0,0
1.02329,DL,102,3,0,1,3,5,0,5,5,14320,20,1,0,17.1366,0,0
1.02336,DL,102,3,0,3,2,7,0,5,5,6942,16,1,0,9.57521,1,0.867284
1.02343,DL,102,3,0,4,2,5,0,4,4,15970,28,1,0,72.669,0,0
1.0235,DL,102,3,0,4,3,1,0,4,4,19527,24,1,0,22.1014,0,0
1.0235,DL,102,3,0,5,2,7,0,4,4,6942,16,1,0,9.87403,1,1
1.02357,DL,102,3,0,4,4,3,0,2,2,22564,22,1,0,17.9014,1,0.980293
1.02357,DL,102,3,0,6,2,5,0,3,3,1100,4,1,0,0.186539,0,0
1.02364,DL,102,3,0,7,2,1,0,3,3,15970,28,1,0,36.5198,0,0
1.02364,DL,102,3,0,7,2,7,0,3,3,15970,28,1,0,58.9803,0,0
1.02371,DL,102,3,0,8,2,5,0,2,2,9547,20,1,0,15.0187,0,1.15463e-14
1.02379,DL,102,3,0,9,2,1,0,2,2,15970,28,1,0,44.2877,0,0
1.02379,DL,102,3,0,9,2,7,0,2,2,15970,28,1,0,67.9575,0,0
1.02386,DL,102,3,0,8,4,3,0,1,1,15621,18,1,0,16.2204,0,0
