time(s),cellId,rnti,lcid,packetSize
1.066,4,1,3,15618
1.066,6,5,3,14317
1.066,6,4,3,23949
1.066,6,3,3,1097
1.066,6,2,3,9544
1.066,6,1,3,7807
1.067,8,7,3,2775
1.067,8,6,3,7982
1.067,8,5,3,5551
1.067,8,4,3,5551
1.067,8,3,3,15967
1.067,8,2,3,15967
1.067,8,1,3,15967
1.068,4,3,3,31934
1.068,4,2,3,22561
1.068,4,1,3,15618
1.069,2,5,3,23949
1.069,2,4,3,19524
1.069,2,3,3,15967
1.069,2,2,3,15967
1.069,2,1,3,15967
1.069,8,7,3,2139
1.069,8,6,3,7982
1.069,8,5,3,5551
1.069,8,4,3,5551
1.069,8,3,3,15967
1.069,8,2,3,15967
1.069,8,1,3,15967
1.07,2,5,3,23949
1.07,2,4,3,22128
1.07,2,3,3,15967
1.07,2,2,3,15967
1.07,2,1,3,15967
1.07,4,3,3,31934
1.07,4,2,3,26031
1.07,4,1,3,15618
1.071,2,5,3,23949
1.071,2,4,3,23949
1.071,2,3,3,15967
1.071,2,2,3,15967
1.071,2,1,3,15967
1.071,4,3,3,31934
1.071,4,2,3,26031
1.071,4,1,3,26031
1.071,6,5,3,11713
1.071,6,4,3,23949
1.071,6,3,3,1733
1.071,6,2,3,9544
1.071,6,1,3,9544
1.071,8,7,3,3469
1.071,8,6,3,7982
1.071,8,5,3,9544
1.071,8,4,3,2543
1.071,8,3,3,15967
1.071,8,2,3,15967
1.071,8,1,3,15967
1.072,2,5,3,23949
1.072,2,4,3,15967
1.072,2,3,3,15967
1.072,2,2,3,15967
1.072,2,1,3,15967
1.072,4,3,3,31934
1.072,4,2,3,26031
1.072,4,1,3,15618
1.072,6,5,3,16919
1.072,6,4,3,23949
1.072,6,3,3,1097
1.072,6,2,3,9544
1.072,6,1,3,11280
1.072,8,7,3,3902
1.072,8,6,3,7982
1.072,8,5,3,9544
1.072,8,4,3,2543
1.072,8,3,3,15967
1.072,8,2,3,15967
1.072,8,1,3,15967
1.073,2,5,3,23949
1.073,2,4,3,23949
1.073,2,3,3,15967
1.073,2,2,3,15967
1.073,2,1,3,15967
1.073,4,3,3,31934
1.073,4,2,3,22561
1.073,4,1,3,15618
1.073,6,5,3,10412
1.073,6,4,3,23949
1.073,6,3,3,1097
1.073,6,2,3,9544
1.073,6,1,3,11280
1.073,8,7,3,5638
1.073,8,6,3,7982
1.073,8,5,3,11280
1.073,8,4,3,9544
1.073,8,3,3,15967
1.073,8,2,3,15967
1.073,8,1,3,15967
1.074,4,3,3,31934
1.074,4,2,3,26031
1.074,4,1,3,22561
1.074,6,5,3,11713
1.074,6,4,3,15967
1.074,6,3,3,1097
1.074,6,2,3,13014
1.074,6,1,3,11280
1.074,8,7,3,2139
1.074,8,6,3,7982
1.074,8,5,3,7807
1.074,8,4,3,1733
1.074,8,3,3,15967
1.074,8,2,3,15967
1.074,8,1,3,15967
1.075,2,5,3,22128
1.075,2,4,3,22128
1.075,2,3,3,15967
1.075,2,2,3,15967
1.075,2,1,3,15967
1.075,6,5,3,11713
1.075,6,4,3,23949
1.075,6,3,3,1097
1.075,6,2,3,6939
1.075,6,1,3,15967
1.075,8,7,3,2139
1.075,8,6,3,7982
1.075,8,5,3,5551
1.075,8,4,3,6939
1.075,8,3,3,15967
1.075,8,2,3,15967
1.075,8,1,3,15967
1.077,4,3,3,31934
1.077,4,2,3,22561
1.077,4,1,3,15618
1.078,4,3,3,31934
1.078,4,2,3,26031
1.078,4,1,3,15618
1.079,2,5,3,23949
1.079,2,4,3,19524
1.079,2,3,3,15967
1.079,2,2,3,15967
1.079,2,1,3,15967
1.079,4,3,3,31934
1.079,4,2,3,22561
1.079,4,1,3,15618
1.079,8,7,3,2139
1.079,8,6,3,7982
1.079,8,5,3,5551
1.079,8,4,3,6939
1.079,8,3,3,15967
1.079,8,2,3,15967
1.079,8,1,3,15967
1.08,2,5,3,23949
1.08,2,4,3,19524
1.08,2,3,3,15967
1.08,2,2,3,15967
1.08,2,1,3,15967
1.08,4,3,3,31934
1.08,4,2,3,26031
1.08,4,1,3,29503
1.081,2,5,3,23949
1.081,2,4,3,22128
1.081,2,3,3,15967
1.081,2,2,3,15967
1.081,2,1,3,15967
1.081,4,3,3,31934
1.081,4,2,3,26031
1.081,4,1,3,29503
1.081,6,5,3,14317
1.081,6,4,3,23949
1.081,6,3,3,2543
1.081,6,2,3,11280
1.081,6,1,3,7807
1.081,8,7,3,1733
1.081,8,6,3,7982
1.081,8,5,3,5551
1.081,8,4,3,6939
1.081,8,3,3,15967
1.081,8,2,3,15967
1.081,8,1,3,15967
1.082,2,5,3,23949
1.082,2,4,3,23949
1.082,2,3,3,15967
1.082,2,2,3,15967
1.082,2,1,3,15967
1.082,4,3,3,9462
1.082,4,2,3,28203
1.082,4,1,3,32541
1.082,6,5,3,14317
1.082,6,4,3,23949
1.082,6,3,3,2543
1.082,6,2,3,11280
1.082,6,1,3,7807
1.082,8,7,3,3902
1.082,8,6,3,7982
1.082,8,5,3,6939
1.082,8,4,3,6939
1.082,8,3,3,15967
1.082,8,2,3,15967
1.082,8,1,3,15967
1.083,2,5,3,23949
1.083,2,4,3,23949
1.083,2,3,3,15967
1.083,2,2,3,15967
1.083,2,1,3,15967
1.083,4,2,3,39048
1.083,4,1,3,33841
1.083,6,5,3,14317
1.083,6,4,3,23949
1.083,6,3,3,2543
1.083,6,2,3,11280
1.083,6,1,3,11280
1.083,8,7,3,4770
1.083,8,6,3,7982
1.083,8,5,3,7807
1.083,8,4,3,6939
1.083,8,3,3,15967
1.083,8,2,3,15967
1.083,8,1,3,15967
1.084,4,2,3,39048
1.084,4,1,3,44257
1.084,6,5,3,14317
1.084,6,4,3,23949
1.084,6,3,3,2543
1.084,6,2,3,11280
1.084,6,1,3,7807
1.085,6,5,3,14317
1.085,6,4,3,23949
1.085,6,3,3,2543
