Time(sec),CellId,BwpId,IMSI,pathLoss(dB)
1.02593,7,0,3,-138.389
1.02593,7,0,4,-99.6809
1.02593,5,0,1,-130.559
1.02593,1,0,10,-129.631
1.02593,3,0,5,-104.897
1.02593,7,0,6,-131.748
1.02593,1,0,16,-129.118
1.02593,5,0,2,-95.2138
1.02593,7,0,9,-134.845
1.02593,3,0,7,-131.651
1.02593,5,0,8,-144.829
1.02593,1,0,17,-128.223
1.02593,7,0,13,-107.292
1.02593,5,0,12,-127.419
1.02593,1,0,19,-118.74
1.02593,7,0,14,-102.241
1.02593,3,0,11,-129.382
1.02593,5,0,15,-131.566
1.02593,7,0,18,-103.2
1.02593,1,0,20,-126.001
1.02693,7,0,3,-138.338
1.02693,7,0,4,-99.6106
1.02693,7,0,9,-134.908
1.02693,7,0,13,-107.223
1.02693,7,0,14,-102.298
1.02693,7,0,18,-103.147
1.02693,5,0,1,-130.616
1.02693,1,0,10,-129.608
1.02693,3,0,5,-104.969
1.02693,1,0,16,-129.171
1.02693,5,0,2,-95.1719
1.02693,3,0,7,-131.661
1.02693,5,0,8,-144.874
1.02693,1,0,17,-128.223
1.02693,5,0,12,-127.455
1.02693,1,0,19,-118.679
1.02693,7,0,6,-131.825
1.02693,3,0,11,-129.445
1.02693,5,0,15,-131.565
1.02693,1,0,20,-125.967
1.02793,7,0,3,-138.324
1.02793,7,0,4,-99.5589
1.02793,5,0,1,-130.593
1.02793,1,0,10,-129.589
1.02793,3,0,5,-104.885
1.02793,7,0,6,-131.843
1.02793,1,0,16,-129.118
1.02793,5,0,2,-95.1746
1.02793,7,0,9,-134.929
1.02793,3,0,7,-131.746
1.02793,7,0,13,-107.23
1.02793,5,0,8,-144.838
1.02793,1,0,17,-128.253
1.02793,7,0,14,-102.292
1.02793,5,0,12,-127.392
1.02793,1,0,19,-118.697
1.02793,3,0,11,-129.441
1.02793,7,0,18,-103.181
1.02793,5,0,15,-131.696
1.02793,1,0,20,-125.927
1.02893,7,0,3,-138.331
1.02893,7,0,4,-99.5501
1.02893,7,0,6,-131.859
1.02893,7,0,13,-107.173
1.02893,7,0,14,-102.324
1.02893,7,0,18,-103.149
1.02893,5,0,1,-130.73
1.02893,1,0,10,-129.616
1.02893,3,0,5,-104.852
1.02893,1,0,16,-129.005
1.02893,5,0,2,-95.1815
1.02893,3,0,7,-131.704
1.02893,5,0,8,-144.887
1.02893,1,0,17,-128.284
1.02893,5,0,12,-127.44
1.02893,1,0,19,-118.745
1.02893,7,0,9,-134.885
1.02893,3,0,11,-129.398
1.02893,5,0,15,-131.632
1.02893,1,0,20,-126.011
1.02993,5,0,2,-95.1105
1.02993,5,0,8,-144.866
1.02993,5,0,12,-127.569
1.02993,5,0,15,-131.69
1.02993,7,0,3,-138.286
1.02993,7,0,4,-99.5704
1.02993,1,0,10,-129.571
1.02993,3,0,5,-104.878
