"13.4s,ENb,484.992,67.554"
"13.5s,ENb,12.8925,76.676"
"13.5s,ENb,19.44,479.21"
"13.5s,ENb,482.774,469.679"
"13.5s,ENb,484.88,67.685"
"13.6s,ENb,12.988,76.8736"
"13.6s,ENb,19.584,479.056"
"13.6s,ENb,482.646,469.454"
"13.6s,ENb,484.768,67.816"
"13.7s,ENb,13.0835,77.0712"
"13.7s,ENb,19.728,478.902"
"13.7s,ENb,482.519,469.23"
"13.7s,ENb,484.656,67.947"
"13.8s,ENb,13.179,77.2688"
"13.8s,ENb,19.872,478.748"
"13.8s,ENb,482.391,469.005"
"13.8s,ENb,484.544,68.078"
"13.9s,ENb,13.2745,77.4664"
"13.9s,ENb,20.016,478.594"
"13.9s,ENb,482.264,468.781"
"13.9s,ENb,484.432,68.209"
"14s,ENb,13.37,77.664"
"14s,ENb,20.16,478.44"
"14s,ENb,482.136,468.556"
"14s,ENb,484.32,68.34"
"14.1s,ENb,13.4655,77.8616"
"14.1s,ENb,20.304,478.286"
"14.1s,ENb,482.008,468.331"
"14.1s,ENb,484.208,68.471"
"14.2s,ENb,13.561,78.0592"
"14.2s,ENb,20.448,478.132"
"14.2s,ENb,481.881,468.107"
"14.2s,ENb,484.096,68.602"
"14.3s,ENb,13.6565,78.2568"
"14.3s,ENb,20.592,477.978"
"14.3s,ENb,481.753,467.882"
"14.3s,ENb,483.984,68.733"
"14.4s,ENb,13.752,78.4544"
"14.4s,ENb,20.736,477.824"
"14.4s,ENb,481.626,467.658"
"14.4s,ENb,483.872,68.864"
"14.5s,ENb,13.8475,78.652"
"14.5s,ENb,20.88,477.67"
"14.5s,ENb,481.498,467.433"
"14.5s,ENb,483.76,68.995"
"14.6s,ENb,13.943,78.8496"
"14.6s,ENb,21.024,477.516"
"14.6s,ENb,481.37,467.208"
"14.6s,ENb,483.648,69.126"
"14.7s,ENb,14.0385,79.0472"
"14.7s,ENb,21.168,477.362"
"14.7s,ENb,481.243,466.984"
"14.7s,ENb,483.536,69.257"
"14.8s,ENb,14.134,79.2448"
"14.8s,ENb,21.312,477.208"
"14.8s,ENb,481.115,466.759"
"14.8s,ENb,483.424,69.388"
"14.9s,ENb,14.2295,79.4424"
"14.9s,ENb,21.456,477.054"
"14.9s,ENb,480.988,466.535"
"14.9s,ENb,483.312,69.519"
"15s,ENb,14.325,79.64"
"15s,ENb,21.6,476.9"
"15s,ENb,480.86,466.31"
"15s,ENb,483.2,69.65"
"15.1s,ENb,14.4205,79.8376"
"15.1s,ENb,21.744,476.746"
"15.1s,ENb,480.732,466.085"
"15.1s,ENb,483.088,69.781"
"15.2s,ENb,14.516,80.0352"
"15.2s,ENb,21.888,476.592"
"15.2s,ENb,480.605,465.861"
"15.2s,ENb,482.976,69.912"
"15.3s,ENb,14.6115,80.2328"
"15.3s,ENb,22.032,476.438"
"15.3s,ENb,480.477,465.636"
"15.3s,ENb,482.864,70.043"
"15.4s,ENb,14.707,80.4304"
"15.4s,ENb,22.176,476.284"
"15.4s,ENb,480.35,465.412"
"15.4s,ENb,482.752,70.174"
"15.5s,ENb,14.8025,80.628"
"15.5s,ENb,22.32,476.13"
"15.5s,ENb,480.222,465.187"
"15.5s,ENb,482.64,70.305"
"15.6s,ENb,14.898,80.8256"
"15.6s,ENb,22.464,475.976"
"15.6s,ENb,480.094,464.962"
"15.6s,ENb,482.528,70.436"
"15.7s,ENb,14.9935,81.0232"
"15.7s,ENb,22.608,475.822"
"15.7s,ENb,479.967,464.738"
"15.7s,ENb,482.416,70.567"
"15.8s,ENb,15.089,81.2208"
"15.8s,ENb,22.752,475.668"
"15.8s,ENb,479.839,464.513"
"15.8s,ENb,482.304,70.698"
"15.9s,ENb,15.1845,81.4184"
"15.9s,ENb,22.896,475.514"
"15.9s,ENb,479.712,464.289"
"15.9s,ENb,482.192,70.829"
"16s,ENb,15.28,81.616"
"16s,ENb,23.04,475.36"
"16s,ENb,479.584,464.064"
"16s,ENb,482.08,70.96"
"16.1s,ENb,15.3755,81.8136"
"16.1s,ENb,23.184,475.206"
"16.1s,ENb,479.456,463.839"
"16.1s,ENb,481.968,71.091"
"16.2s,ENb,15.471,82.0112"
"16.2s,ENb,23.328,475.052"
"16.2s,ENb,479.329,463.615"
"16.2s,ENb,481.856,71.222"
"16.3s,ENb,15.5665,82.2088"
"16.3s,ENb,23.472,474.898"
"16.3s,ENb,479.201,463.39"
"16.3s,ENb,481.744,71.353"
"16.4s,ENb,15.662,82.4064"
"16.4s,ENb,23.616,474.744"
"16.4s,ENb,479.074,463.166"
"16.4s,ENb,481.632,71.484"
"16.5s,ENb,15.7575,82.604"
"16.5s,ENb,23.76,474.59"
"16.5s,ENb,478.946,462.941"
"16.5s,ENb,481.52,71.615"
"16.6s,ENb,15.853,82.8016"
"16.6s,ENb,23.904,474.436"
"16.6s,ENb,478.818,462.716"
"16.6s,ENb,481.408,71.746"
"16.7s,ENb,15.9485,82.9992"
"16.7s,ENb,24.048,474.282"
"16.7s,ENb,478.691,462.492"
"16.7s,ENb,481.296,71.877"
"16.8s,ENb,16.044,83.1968"
"16.8s,ENb,24.192,474.128"
"16.8s,ENb,478.563,462.267"
"16.8s,ENb,481.184,72.008"
"16.9s,ENb,16.1395,83.3944"
"16.9s,ENb,24.336,473.974"
"16.9s,ENb,478.436,462.043"
"16.9s,ENb,481.072,72.139"
"17s,ENb,16.235,83.592"
"17s,ENb,24.48,473.82"
"17s,ENb,478.308,461.818"
"17s,ENb,480.96,72.27"
"17.1s,ENb,16.3305,83.7896"
"17.1s,ENb,24.624,473.666"
"17.1s,ENb,478.18,461.593"
"17.1s,ENb,480.848,72.401"
"17.2s,ENb,16.426,83.9872"
"17.2s,ENb,24.768,473.512"
"17.2s,ENb,478.053,461.369"
"17.2s,ENb,480.736,72.532"
"17.3s,ENb,16.5215,84.1848"
"17.3s,ENb,24.912,473.358"
"17.3s,ENb,477.925,461.144"
"17.3s,ENb,480.624,72.663"
"17.4s,ENb,16.617,84.3824"
"17.4s,ENb,25.056,473.204"
"17.4s,ENb,477.798,460.92"
"17.4s,ENb,480.512,72.794"
"17.5s,ENb,16.7125,84.58"
"17.5s,ENb,25.2,473.05"
"17.5s,ENb,477.67,460.695"
"17.5s,ENb,480.4,72.925"
"17.6s,ENb,16.808,84.7776"
"17.6s,ENb,25.344,472.896"
