time(s),cellId,rnti,lcid,packetSize,delay(s)
1.02103,2,1,3,1530,0.0104745
1.02103,6,1,3,1530,0.0108074
1.02103,6,1,3,1530,0.0107823
1.02103,6,1,3,1530,0.0107571
1.02103,6,1,3,1530,0.010732
1.02103,6,1,3,1530,0.0107069
1.02103,6,1,3,1530,0.0106818
1.02103,8,1,3,1530,0.0107031
1.02103,8,1,3,1530,0.010678
1.02103,8,1,3,1530,0.0106529
1.02103,8,1,3,1530,0.0106278
1.02103,8,1,3,1530,0.0106027
1.02103,8,1,3,1530,0.0105775
1.02103,8,1,3,1530,0.0105524
1.02103,8,1,3,1530,0.0105273
1.02103,8,1,3,1530,0.0105022
1.02103,8,1,3,1530,0.0104771
1.02124,8,7,3,1530,0.0111623
1.02131,8,6,3,1530,0.0110316
1.02131,8,6,3,1530,0.0110064
1.02131,8,6,3,1530,0.0109813
1.02131,8,6,3,1530,0.0109562
1.02131,8,6,3,1530,0.0109311
1.02139,2,5,3,1530,0.0105931
1.02139,2,5,3,1530,0.0105679
1.02139,2,5,3,1530,0.0105428
1.02139,2,5,3,1530,0.0105177
1.02139,2,5,3,1530,0.0104926
1.02139,2,5,3,1530,0.0104675
1.02139,2,5,3,1530,0.0104423
1.02139,2,5,3,1530,0.0104172
1.02139,2,5,3,1530,0.0103921
1.02139,2,5,3,1530,0.010367
1.02139,2,5,3,1530,0.0103419
1.02139,2,5,3,1530,0.0103167
1.02139,2,5,3,1530,0.0102916
1.02139,2,5,3,1530,0.0102665
1.02139,2,5,3,1530,0.0102414
1.02139,6,5,3,1530,0.0109812
1.02139,6,5,3,1530,0.010956
1.02139,6,5,3,1530,0.0109309
1.02139,6,5,3,1530,0.0109058
1.02139,6,5,3,1530,0.0108807
1.02139,6,5,3,1530,0.0108556
1.02139,6,5,3,1530,0.0108304
1.02146,4,3,3,1530,0.0103191
1.02146,4,3,3,1530,0.010294
1.02146,4,3,3,1530,0.0102688
1.02146,4,3,3,1530,0.0102437
1.02146,4,3,3,1530,0.0102186
1.02146,4,3,3,1530,0.0101935
1.02146,4,3,3,1530,0.0101684
1.02146,4,3,3,1530,0.0101432
1.02146,4,3,3,1530,0.0101181
1.02146,4,3,3,1530,0.010093
1.02146,4,3,3,1530,0.0100679
1.02146,4,3,3,1530,0.0100428
1.02146,4,3,3,1530,0.0100176
1.02146,4,3,3,1530,0.00999252
1.02146,4,3,3,1530,0.0099674
1.02146,4,3,3,1530,0.00994228
1.02146,4,3,3,1530,0.00991716
1.02146,4,3,3,1530,0.00989204
1.02146,4,3,3,1530,0.00986692
1.02146,4,3,3,1530,0.0098418
1.02146,4,3,3,1530,0.00981668
1.02153,8,4,3,1530,0.0112396
1.02153,8,4,3,1530,0.0112144
1.02153,8,4,3,1530,0.0111893
1.02153,8,4,3,1530,0.0111642
1.02153,8,4,3,1530,0.0111391
1.0216,6,4,3,1530,0.010742
1.0216,6,4,3,1530,0.0107169
1.0216,6,4,3,1530,0.0106918
1.0216,6,4,3,1530,0.0106667
1.0216,6,4,3,1530,0.0106415
1.0216,6,4,3,1530,0.0106164
1.0216,6,4,3,1530,0.0105913
1.0216,6,4,3,1530,0.0105662
1.0216,6,4,3,1530,0.0105411
1.0216,6,4,3,1530,0.0105159
1.0216,6,4,3,1530,0.0104908
1.0216,6,4,3,1530,0.0104657
1.0216,6,4,3,1530,0.0104406
1.0216,6,4,3,1530,0.0104155
1.0216,6,4,3,1530,0.0103903
1.0216,6,4,3,1530,0.0103652
1.02167,2,3,3,1530,0.0110961
